Gene	sgRNA	D18_DMSO|beta	D18_DMSO|z	D18_DMSO|p-value	D18_DMSO|fdr	D18_DMSO|wald-p-value	D18_DMSO|wald-fdr	D18_CompB|beta	D18_CompB|z	D18_CompB|p-value	D18_CompB|fdr	D18_CompB|wald-p-value	D18_CompB|wald-fdr
GNRH2	6	0.26462	2.5385	0.10878	0.68065	0.011134	0.13276	0.22287	2.1476	0.17782	0.77602	0.031746	0.19672
GNRHR	6	0.068857	0.58087	0.63984	0.93452	0.56133	0.74633	-0.00077841	-0.006602	0.94798	0.99052	0.99473	0.99724
GNS	6	-0.23172	-3.0798	0.25275	0.81145	0.0020716	0.059994	-0.13715	-1.8384	0.5003	0.9347	0.065997	0.27258
GOLGA1	6	0.060362	0.48453	0.67616	0.94593	0.62801	0.79135	0.044231	0.35886	0.75076	0.97308	0.7197	0.85294
GOLGA2	6	0.056453	0.76063	0.69167	0.95082	0.44688	0.66283	0.10094	1.3705	0.52097	0.9395	0.17053	0.41859
GOLGA3	6	0.081914	1.1049	0.58508	0.9175	0.26919	0.51093	0.15022	2.0407	0.35519	0.87955	0.041283	0.22012
GOLGA4	6	0.36254	2.0476	0.031348	0.46995	0.0406	0.22472	0.40874	2.3243	0.017066	0.39062	0.020111	0.15946
GOLGA5	6	-0.17172	-1.7942	0.39699	0.86118	0.072789	0.27315	-0.2458	-2.5815	0.22647	0.81749	0.0098373	0.11607
GOLGA6A	6	-0.29658	-2.396	0.14894	0.74284	0.016577	0.15682	-0.31743	-2.5856	0.12457	0.70579	0.0097212	0.11533
GOLGA6B	6	-0.25917	-1.2695	0.20278	0.7996	0.20426	0.44444	-0.2897	-1.4352	0.15852	0.74742	0.15123	0.39723
GOLGA6C	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
GOLGA6D	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
GOLGA6L1	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
GOLGA6L10	6	-0.45115	-0.85824	0.037691	0.4961	0.39076	0.61485	-1.0692	-2.0184	0.00073009	0.17204	0.043551	0.22504
GOLGA6L4	6	-1.0611	-2.7049	0.00068446	0.2087	0.0068319	0.10795	-1.2785	-3.2761	0.00041068	0.16129	0.0010526	0.037633
GOLGA6L6	6	0.30277	2.3456	0.068446	0.59777	0.018995	0.16579	-0.013633	-0.10641	0.99338	0.99899	0.91526	0.95842
GOLGA6L9	6	-0.05733	-0.32085	0.80835	0.97734	0.74833	0.86689	-0.33994	-1.9227	0.10418	0.68374	0.054514	0.24898
GOLGA7	6	-0.28412	-1.4186	0.16651	0.76746	0.15603	0.38854	-0.39942	-2.0032	0.061967	0.5889	0.045159	0.22816
GOLGA7B	6	-0.041482	-0.29588	0.87593	0.98345	0.76732	0.8777	-0.061672	-0.44392	0.7859	0.97308	0.6571	0.82727
GOLGA8A	6	-0.06845	-0.77168	0.76226	0.96775	0.4403	0.6575	0.02053	0.23367	0.8533	0.97687	0.81524	0.90479
GOLGA8B	5	-0.076185	-0.34646	0.75268	0.96572	0.729	0.85692	-0.18998	-0.8687	0.39001	0.8953	0.38501	0.62499
GOLGA8O	6	-0.47937	-2.0537	0.029249	0.45917	0.040004	0.2229	-0.63859	-2.748	0.0087611	0.3072	0.0059967	0.09228
GOLGB1	6	0.12274	1.1141	0.43504	0.87903	0.26523	0.5067	0.1819	1.6616	0.26849	0.84667	0.096602	0.32422
GOLIM4	4	0.14171	0.90807	0.47333	0.88962	0.36384	0.59278	-0.049027	-0.3144	0.86092	0.97741	0.75322	0.86977
GOLM1	6	-0.16672	-1.4377	0.41145	0.87063	0.15051	0.38154	-0.12819	-1.1164	0.5305	0.94029	0.26425	0.51618
GOLPH3	6	-0.11068	-0.96875	0.59329	0.92115	0.33267	0.56765	-0.074356	-0.65655	0.73233	0.97308	0.51147	0.72329
GOLPH3L	6	-0.20697	-1.5123	0.30495	0.82364	0.13045	0.35463	-0.2177	-1.6018	0.28305	0.85211	0.10919	0.34258
GOLT1A	6	-0.087731	-0.83221	0.68305	0.94784	0.40529	0.62726	-0.1245	-1.1881	0.54232	0.94111	0.23479	0.48748
GOLT1B	6	-0.10674	-0.80721	0.60935	0.92383	0.41955	0.63965	-0.18035	-1.3735	0.36984	0.88608	0.16959	0.41748
GON4L	6	-0.16712	-1.6381	0.41068	0.87007	0.10139	0.31821	-0.14256	-1.4107	0.48127	0.92819	0.15834	0.40549
GOPC	6	0.13386	1.2884	0.39772	0.86118	0.1976	0.43693	-0.00048644	-0.0046993	0.94634	0.99007	0.99625	0.99803
GORAB	6	-0.034038	-0.30906	0.90796	0.98735	0.75727	0.8723	0.029713	0.27158	0.81182	0.97374	0.78594	0.8884
GORASP1	6	0.22051	1.2374	0.17755	0.78164	0.21595	0.45765	0.27953	1.5846	0.094638	0.66209	0.11306	0.34863
GORASP2	6	-0.20437	-2.672	0.30983	0.82537	0.0075391	0.11309	-0.23649	-3.1073	0.24367	0.82855	0.0018879	0.051523
GOSR1	6	0.20689	1.2096	0.2042	0.80251	0.22642	0.4679	0.1403	0.82389	0.38581	0.8921	0.41	0.64563
GOSR2	6	-0.12581	-0.8293	0.53739	0.9033	0.40693	0.62897	-0.16647	-1.1052	0.40862	0.90636	0.26909	0.52039
GOT1	6	-0.014784	-0.15397	0.99548	0.99922	0.87763	0.93981	0.057331	0.60287	0.69391	0.97222	0.54659	0.74778
GOT1L1	6	0.047689	0.36933	0.72713	0.96019	0.71188	0.84695	0.08229	0.64118	0.59434	0.95312	0.52141	0.72983
GOT2	6	-0.018771	-0.11098	0.97696	0.9967	0.91164	0.95783	0.026165	0.1566	0.82701	0.97374	0.87556	0.9382
GP1BA	6	0.36385	1.9712	0.030892	0.46726	0.048703	0.22743	0.27399	1.4895	0.10139	0.67743	0.13636	0.37944
GP1BB	6	-0.033219	-0.39243	0.91161	0.98746	0.69474	0.83628	-0.095468	-1.1343	0.64956	0.96345	0.25667	0.5096
GP2	6	0.12542	0.61043	0.42683	0.87576	0.54158	0.73161	0.1516	0.74227	0.35117	0.87789	0.45793	0.68403
GP5	6	0.0028104	0.016329	0.92234	0.98754	0.98697	0.99398	-0.067199	-0.39179	0.76318	0.97308	0.69521	0.84055
GP6	6	0.23854	1.7241	0.14584	0.74001	0.084688	0.2914	0.1278	0.92668	0.42706	0.91121	0.35409	0.5977
GP9	6	0.33843	2.6474	0.043806	0.52322	0.0081108	0.11663	0.23186	1.8192	0.16039	0.75123	0.068876	0.2777
GPA33	6	-0.15297	-1.5299	0.45115	0.88559	0.12604	0.34827	-0.031412	-0.31768	0.91344	0.98555	0.75073	0.86977
GPAA1	6	0.17486	1.734	0.27607	0.81145	0.082909	0.28886	0.20984	2.0918	0.20392	0.79686	0.036453	0.20814
GPALPP1	6	-0.044666	-0.40596	0.86201	0.98191	0.68477	0.83011	-0.13598	-1.2421	0.5039	0.93593	0.21419	0.46711
GPAM	6	0.016137	0.1172	0.86329	0.98191	0.9067	0.95547	-0.02661	-0.19466	0.93516	0.98832	0.84566	0.92215
GPANK1	6	0.074	1.047	0.6178	0.92581	0.2951	0.53478	0.077404	1.1001	0.61237	0.95676	0.27127	0.52206
GPAT2	6	-0.16096	-1.2847	0.42856	0.87719	0.19889	0.43863	-0.23188	-1.8609	0.25307	0.83328	0.062756	0.2655
GPATCH1	6	-0.23725	-1.7889	0.24139	0.81145	0.073628	0.27479	-0.26873	-2.0389	0.18891	0.78865	0.041457	0.2203
GPATCH2	6	0.24434	2.3541	0.13644	0.72467	0.01857	0.16359	0.28403	2.7517	0.089893	0.65667	0.0059289	0.091825
GPATCH2L	6	-0.11566	-1.2933	0.57372	0.91173	0.1959	0.43504	-0.096682	-1.0903	0.64408	0.9618	0.27557	0.52588
GPATCH3	6	0.064167	0.38647	0.65868	0.94107	0.69915	0.83841	0.16236	0.98633	0.31777	0.86413	0.32397	0.57068
GPATCH4	6	-0.12061	-0.72271	0.55428	0.90812	0.46986	0.68011	-0.37215	-2.2399	0.0799	0.63344	0.025101	0.17727
GPATCH8	6	0.028717	0.21354	0.81141	0.97746	0.8309	0.91398	-0.24777	-1.842	0.22268	0.81546	0.06547	0.27131
GPBAR1	6	-0.048979	-0.50118	0.84335	0.97986	0.61625	0.78452	0.045014	0.46376	0.74766	0.97308	0.64282	0.81752
GPBP1	6	-0.31224	-2.2945	0.13073	0.71956	0.021763	0.1758	-0.40405	-2.9835	0.059503	0.58544	0.0028501	0.064028
GPBP1L1	6	0.054814	0.59603	0.69815	0.95392	0.55115	0.73908	0.060129	0.65814	0.6825	0.96903	0.51045	0.72236
GPC1	6	-0.22698	-2.0776	0.26183	0.81145	0.037743	0.2175	-0.27195	-2.5058	0.18353	0.7831	0.012218	0.1272
GPC2	6	0.26253	1.9461	0.11189	0.68699	0.05164	0.233	0.2595	1.9393	0.11882	0.70185	0.05247	0.24388
GPC3	6	0.14311	1.2106	0.36788	0.85631	0.22604	0.46755	0.18412	1.5691	0.26302	0.84072	0.11662	0.35352
GPC4	6	0.33631	2.7715	0.044901	0.52331	0.0055802	0.0987	0.32525	2.6949	0.053708	0.5733	0.0070414	0.099492
GPC5	6	0.02279	0.16143	0.83641	0.9796	0.87175	0.93732	0.015947	0.11378	0.87315	0.97754	0.90941	0.95554
GPC6	6	0.65593	2.0285	0.00045631	0.19608	0.042504	0.22624	0.74106	2.3187	9.1262e-05	0.10526	0.020409	0.16077
GPCPD1	6	0.027199	0.19355	0.81729	0.97746	0.84653	0.92252	0.010996	0.078752	0.89341	0.98199	0.93723	0.96996
GPD1	6	0.015582	0.16849	0.86539	0.98193	0.8662	0.93447	0.13109	1.4273	0.41725	0.90947	0.15349	0.39944
GPD1L	6	-0.039321	-0.34624	0.88442	0.98376	0.72916	0.85692	-0.11448	-1.0133	0.57942	0.9526	0.3109	0.55994
GPD2	6	0.015358	0.21412	0.86639	0.98201	0.83046	0.91372	0.044279	0.62165	0.75049	0.97308	0.53417	0.73939
GPER	6	0.09488	0.73539	0.53621	0.90302	0.4621	0.67468	0.017247	0.13453	0.86758	0.97752	0.89299	0.9478
GPER1	6	0.17112	1.031	0.28556	0.81319	0.30254	0.54139	0.19393	1.1749	0.23952	0.82472	0.24003	0.49273
GPHA2	6	-0.20722	-1.489	0.30472	0.82363	0.13649	0.36389	-0.27586	-1.9945	0.17791	0.77602	0.046102	0.23053
GPHB5	6	0.035367	0.18938	0.78093	0.97226	0.84979	0.92443	0.090174	0.48641	0.56204	0.94746	0.62667	0.80625
GPHN	6	0.095781	1.0226	0.5326	0.90183	0.30648	0.54512	0.12332	1.3264	0.43943	0.91448	0.1847	0.43514
GPI	6	0.09823	0.61989	0.52357	0.9007	0.53533	0.72719	0.16865	1.0733	0.30071	0.85792	0.28312	0.53269
GPIHBP1	6	0.12472	1.7651	0.42907	0.87731	0.077546	0.2809	0.032626	0.4632	0.79877	0.97349	0.64322	0.81797
GPKOW	6	-0.46396	-2.7403	0.033584	0.48129	0.0061377	0.10266	-0.47082	-2.8046	0.034771	0.50297	0.0050384	0.084936
GPLD1	6	0.042654	0.36268	0.7494	0.9642	0.71685	0.8496	0.10517	0.90121	0.50605	0.9365	0.36748	0.6095
GPM6A	6	0.11656	1.0276	0.45763	0.88588	0.30412	0.54282	-0.0085272	-0.075521	0.98362	0.99699	0.9398	0.97118
GPM6B	6	0.15361	1.2237	0.33703	0.84499	0.22108	0.46248	0.14293	1.1479	0.37855	0.89002	0.25103	0.50328
GPN1	6	-0.098772	-0.9089	0.63974	0.93452	0.3634	0.59246	-0.23588	-2.1767	0.24495	0.83019	0.0295	0.19002
GPN2	6	-0.52243	-2.3248	0.020899	0.41055	0.020084	0.16988	-0.59742	-2.675	0.01191	0.33633	0.0074729	0.10211
GPN3	6	-0.14066	-0.43945	0.48757	0.89298	0.66033	0.81358	-0.32509	-1.0144	0.11686	0.69902	0.31041	0.5596
GPNMB	6	-0.14307	-1.5243	0.48054	0.89238	0.12742	0.35007	-0.087504	-0.93837	0.67903	0.96883	0.34805	0.59233
GPR1	6	-0.11037	-1.2582	0.59475	0.9212	0.20833	0.44934	-0.049952	-0.57461	0.83395	0.97374	0.56555	0.76201
GPR101	6	0.26872	1.8039	0.10454	0.67145	0.071244	0.27067	0.29581	1.9974	0.078303	0.63042	0.045785	0.2296
GPR107	6	-0.027424	-0.22633	0.93767	0.99012	0.82094	0.90846	0.06465	0.53837	0.66534	0.96712	0.59032	0.77934
GPR108	6	0.16545	1.2407	0.30098	0.82171	0.21472	0.45654	0.14211	1.0714	0.38088	0.89002	0.284	0.53332
GPR110	6	-0.15816	-1.1958	0.43632	0.88015	0.23177	0.47416	-0.23495	-1.7875	0.24723	0.83193	0.073857	0.28734
GPR112	6	0.087686	0.64259	0.56204	0.90964	0.52049	0.7164	0.049721	0.36728	0.72603	0.97308	0.71341	0.84932
GPR113	6	0.040167	0.53508	0.76062	0.9675	0.5926	0.76922	-0.052735	-0.70603	0.82195	0.97374	0.48017	0.69989
GPR114	6	-0.077136	-0.48661	0.72731	0.96019	0.62653	0.79038	-0.0013086	-0.0083424	0.95058	0.99082	0.99334	0.99682
GPR115	6	-0.064092	-0.43521	0.78061	0.97226	0.66341	0.81521	-0.096459	-0.66102	0.6449	0.96202	0.5086	0.7211
GPR116	6	0.17054	1.156	0.28674	0.81357	0.24767	0.48978	0.037988	0.2586	0.77563	0.97308	0.79594	0.89347
GPR119	6	0.0077478	0.11236	0.90094	0.98628	0.91054	0.95723	0.08287	1.2135	0.59133	0.95273	0.22493	0.47774
GPR12	6	-0.19115	-1.2801	0.34173	0.84499	0.20053	0.43999	-0.16395	-1.1081	0.41579	0.90947	0.2678	0.5191
GPR123	6	-0.1501	-1.5716	0.45959	0.88588	0.11605	0.33469	-0.12154	-1.281	0.55177	0.9449	0.20021	0.45167
GPR124	6	0.10213	1.0686	0.50901	0.89829	0.28524	0.52578	0.12712	1.3388	0.42916	0.91164	0.18065	0.43073
GPR125	6	-0.18639	-1.2516	0.35537	0.85087	0.21071	0.45262	-0.24097	-1.6293	0.23514	0.82455	0.10326	0.33323
GPR126	6	-0.14786	-1.1195	0.46612	0.88664	0.26294	0.50431	-0.19944	-1.5218	0.32279	0.86545	0.12805	0.36925
GPR128	6	0.23612	1.714	0.15081	0.74668	0.086527	0.29554	0.29774	2.1821	0.076523	0.62738	0.029101	0.18885
GPR132	6	0.015117	0.15083	0.86735	0.98223	0.88011	0.9408	0.077435	0.77665	0.61227	0.95676	0.43736	0.66635
GPR133	6	-0.14223	-1.5362	0.48296	0.89291	0.12448	0.34665	0.047419	0.51681	0.73694	0.97308	0.60529	0.79082
GPR135	6	0.14445	1.8753	0.36381	0.85612	0.06075	0.25228	0.069691	0.9078	0.64262	0.9618	0.36398	0.60594
GPR137	6	0.24023	1.9139	0.14282	0.73491	0.055632	0.24137	0.21451	1.7162	0.19471	0.79165	0.086129	0.30827
GPR137B	6	0.33909	2.0573	0.043623	0.52298	0.03966	0.22201	0.41714	2.5469	0.014648	0.36854	0.010867	0.12034
GPR137C	6	0.15959	1.4448	0.31841	0.83244	0.14853	0.37883	0.10334	0.94008	0.51266	0.93799	0.34717	0.59158
GPR139	6	0.19569	1.7987	0.22683	0.81145	0.072067	0.27197	0.18975	1.7535	0.24992	0.83263	0.07951	0.29568
GPR141	6	-0.089341	-0.63927	0.67584	0.94593	0.52265	0.71805	-0.076458	-0.55186	0.72279	0.97308	0.58104	0.77268
GPR142	6	0.023735	0.21781	0.83231	0.9796	0.82757	0.91201	0.054005	0.49988	0.70773	0.97308	0.61716	0.7991
GPR143	6	0.060917	0.56385	0.6741	0.94566	0.57286	0.75423	0.044947	0.41824	0.74794	0.97308	0.67577	0.83945
GPR146	6	0.088754	0.68319	0.55797	0.90895	0.49448	0.69707	0.018797	0.14533	0.86042	0.97741	0.88445	0.94341
GPR148	6	-0.015889	-0.23122	0.98992	0.99807	0.81714	0.90621	0.10797	1.5813	0.49555	0.93231	0.11382	0.34979
GPR149	6	-0.22891	-1.9895	0.25813	0.81145	0.046643	0.22624	-0.20896	-1.8279	0.30203	0.85809	0.067562	0.27574
GPR15	6	0.10973	1.3394	0.48191	0.89281	0.18044	0.41727	0.17595	2.1695	0.28259	0.85211	0.030046	0.19113
GPR150	6	-0.27329	-2.1755	0.18088	0.78515	0.029594	0.19864	-0.27811	-2.2296	0.17481	0.77287	0.025776	0.17901
GPR151	6	0.063853	0.95078	0.66037	0.94203	0.34171	0.57525	0.068738	1.0287	0.64632	0.96227	0.30361	0.55258
GPR152	6	0.18864	1.7789	0.24339	0.81145	0.075259	0.27685	0.23913	2.2648	0.1488	0.7403	0.023527	0.17181
GPR153	6	0.10401	1.3486	0.50226	0.89615	0.17747	0.41395	0.18313	2.3896	0.26553	0.84394	0.016866	0.14781
GPR155	6	0.097201	0.52156	0.52763	0.90183	0.60198	0.77538	0.17639	0.95717	0.28113	0.85085	0.33848	0.5832
GPR156	6	0.10376	0.96894	0.50322	0.89615	0.33257	0.56765	0.12627	1.1859	0.43144	0.91169	0.23564	0.4885
GPR157	6	0.11688	0.92896	0.45667	0.88588	0.35291	0.58432	0.11196	0.89416	0.48017	0.92819	0.37124	0.61249
GPR158	6	0.12584	0.73157	0.42514	0.87527	0.46443	0.67632	0.22085	1.2989	0.18193	0.78039	0.19397	0.44522
GPR160	6	0.19087	1.4834	0.23755	0.81145	0.13798	0.36616	0.20956	1.6412	0.20443	0.79723	0.10076	0.32997
GPR161	6	0.047385	0.75098	0.72845	0.96019	0.45266	0.66788	0.081255	1.2934	0.59827	0.95312	0.19588	0.44641
GPR162	6	0.044277	0.32834	0.74232	0.96255	0.74265	0.8641	0.1168	0.87444	0.46251	0.92437	0.38188	0.6224
GPR17	6	0.034538	0.32864	0.78426	0.97226	0.74243	0.86407	-0.14021	-1.337	0.48912	0.9299	0.18122	0.43142
GPR171	6	-0.040392	-0.3984	0.88049	0.98363	0.69033	0.83362	-0.16543	-1.6406	0.41132	0.90842	0.10089	0.33
GPR173	6	-0.033215	-0.24198	0.91161	0.98746	0.8088	0.90179	0.031634	0.23221	0.80269	0.97374	0.81638	0.90541
GPR174	6	0.044152	0.27058	0.74287	0.96257	0.78672	0.8885	0.19525	1.2182	0.23673	0.82455	0.22316	0.47555
GPR176	6	0.12703	1.2257	0.42126	0.87441	0.22031	0.46147	0.22912	2.2289	0.16605	0.7606	0.025819	0.17901
GPR179	6	0.029105	0.16761	0.80926	0.97746	0.86689	0.93486	0.076149	0.44245	0.6178	0.95746	0.65816	0.82795
GPR18	6	-0.054023	-0.6227	0.8224	0.97797	0.53348	0.72589	-0.047064	-0.54518	0.84654	0.97576	0.58563	0.77632
GPR180	6	-0.26106	-1.667	0.19991	0.79698	0.095523	0.30926	-0.20356	-1.3141	0.31362	0.86342	0.18882	0.43969
GPR182	6	-0.26185	-1.2633	0.19845	0.7966	0.20649	0.44738	-0.2443	-1.1859	0.22943	0.82021	0.23565	0.4885
GPR183	6	-0.010175	-0.058894	0.98275	0.99682	0.95304	0.97739	0.031463	0.18424	0.80356	0.97374	0.85382	0.92618
GPR19	6	-0.13115	-1.12	0.51764	0.89987	0.26271	0.50411	-0.10552	-0.90926	0.60922	0.95603	0.36321	0.60554
GPR20	6	0.23765	2.0757	0.1478	0.7425	0.03792	0.21772	0.23788	2.0871	0.15108	0.74255	0.036882	0.2089
GPR21	6	-0.26434	-2.2884	0.19407	0.79362	0.022116	0.17701	-0.16876	-1.4745	0.40169	0.9014	0.14034	0.38487
GPR22	6	0.044967	0.59123	0.73867	0.96224	0.55437	0.74082	0.093081	1.2309	0.55013	0.9449	0.21835	0.4708
GPR25	6	0.30635	1.5343	0.065526	0.59022	0.12495	0.34726	0.25083	1.2638	0.13018	0.7145	0.20632	0.45819
GPR26	6	0.36461	2.5303	0.030527	0.46685	0.011398	0.13407	0.31937	2.2247	0.058362	0.58544	0.0261	0.17955
GPR27	6	0.27858	2.2867	0.092357	0.64836	0.022213	0.17741	0.36632	3.0289	0.031531	0.48861	0.0024548	0.059443
GPR3	6	0.273	2.4641	0.098836	0.66037	0.013737	0.14537	0.23552	2.1342	0.15455	0.74529	0.032826	0.19955
GPR31	6	-0.047778	-0.80426	0.84841	0.98044	0.42125	0.64121	-0.068475	-1.1578	0.75674	0.97308	0.24693	0.49902
GPR32	6	0.19644	1.6538	0.22564	0.81145	0.098161	0.31351	0.33326	2.8301	0.048414	0.54812	0.0046539	0.081145
GPR33	6	0.27159	1.5268	0.10057	0.66647	0.12682	0.34944	0.29145	1.6482	0.082774	0.63828	0.099316	0.32843
GPR34	6	0.099394	0.65771	0.51937	0.89987	0.51072	0.70928	0.12303	0.82102	0.4402	0.91448	0.41163	0.64648
GPR35	6	0.021296	0.1417	0.8413	0.9796	0.88732	0.94405	0.036641	0.24554	0.78134	0.97308	0.80604	0.89959
GPR37	6	0.073623	0.85689	0.61916	0.92581	0.39151	0.61558	0.17946	2.1051	0.27415	0.84895	0.035284	0.20533
GPR37L1	6	0.093997	0.77105	0.53958	0.90387	0.44068	0.65782	0.098958	0.81672	0.5279	0.94029	0.41409	0.64841
GPR39	6	-0.16073	-2.5001	0.42925	0.87739	0.012417	0.13886	-0.061379	-0.96129	0.78704	0.97308	0.33641	0.58135
GPR4	6	-0.27972	-1.3287	0.17303	0.77619	0.18395	0.4223	-0.38304	-1.8297	0.071823	0.61488	0.0673	0.27532
GPR45	6	0.47964	2.858	0.005932	0.26336	0.0042627	0.087552	0.42701	2.5539	0.012366	0.34131	0.010652	0.11933
GPR50	6	0.24369	2.0274	0.13762	0.72727	0.042624	0.22624	0.29172	2.4536	0.082501	0.63828	0.014145	0.13664
GPR52	6	-0.20945	-1.8292	0.2997	0.82122	0.067363	0.26371	-0.078852	-0.69892	0.71494	0.97308	0.4846	0.70322
GPR55	6	0.07139	0.86612	0.62843	0.92835	0.38642	0.61184	0.1447	1.7664	0.37321	0.88885	0.077335	0.29277
GPR56	6	-0.10703	-0.80048	0.60803	0.92365	0.42343	0.64325	-0.12815	-0.96441	0.5306	0.94029	0.33484	0.58015
GPR6	6	0.13538	1.0403	0.3927	0.85965	0.29819	0.53736	0.11976	0.92591	0.4512	0.91802	0.35449	0.59794
GPR61	6	-0.39174	-3.0421	0.065252	0.58993	0.0023494	0.063409	-0.50056	-3.9037	0.027196	0.47077	9.4715e-05	0.0098034
GPR62	6	-0.071366	-0.88932	0.74903	0.9642	0.37383	0.60091	-0.10691	-1.3383	0.60433	0.95453	0.18078	0.43076
GPR63	6	0.17715	1.3909	0.27023	0.81145	0.16427	0.39846	0.19845	1.5698	0.2293	0.82021	0.11647	0.35348
GPR64	6	0.069812	0.54978	0.63523	0.93254	0.58247	0.76146	0.23959	1.9105	0.14812	0.73907	0.056065	0.25229
GPR65	6	0.095908	1.1511	0.53233	0.90183	0.24968	0.492	0.048955	0.59012	0.72918	0.97308	0.55511	0.75448
GPR68	6	0.23876	2.0865	0.14538	0.73955	0.036931	0.2153	0.2963	2.6009	0.077983	0.63015	0.0092972	0.11282
GPR75	6	0.084882	0.55862	0.57308	0.91173	0.57642	0.75696	0.25715	1.7218	0.1217	0.70332	0.085112	0.30637
GPR75-ASB3	6	-0.070317	-0.34517	0.75423	0.96572	0.72996	0.8574	0.12065	0.60524	0.44841	0.91673	0.54502	0.74693
GPR78	6	0.21324	1.9194	0.19174	0.79205	0.054935	0.24015	0.3378	3.0614	0.045448	0.54273	0.0022034	0.055898
GPR82	6	-0.1544	-1.2334	0.44778	0.88411	0.21742	0.45878	-0.1195	-0.96353	0.56003	0.94656	0.33528	0.58041
GPR83	6	0.055473	0.60144	0.69541	0.95304	0.54755	0.73612	0.00059264	0.0064548	0.94209	0.98951	0.99485	0.99731
GPR84	6	-0.086815	-1.2427	0.68688	0.94924	0.21397	0.45592	-0.097465	-1.4027	0.64052	0.96166	0.16072	0.40784
GPR85	6	-0.010385	-0.14518	0.98362	0.99682	0.88457	0.94274	-0.031086	-0.43761	0.91481	0.98555	0.66167	0.83047
GPR87	6	0.027076	0.26231	0.81798	0.97749	0.79308	0.89222	-0.029227	-0.28504	0.92361	0.98725	0.77561	0.88262
GPR88	6	-0.14413	-1.7059	0.47748	0.89124	0.088021	0.29828	-0.26588	-3.1618	0.19379	0.79077	0.0015679	0.046622
GPR89A	6	-0.77995	-3.1765	0.0034223	0.24202	0.0014908	0.051369	-0.80944	-3.3253	0.0031029	0.25182	0.00088336	0.034174
GPR89B	6	-0.49357	-2.3121	0.026283	0.44274	0.020773	0.17217	-0.54276	-2.5683	0.019074	0.41176	0.010219	0.11755
GPR97	6	-0.21247	-1.5015	0.29359	0.81795	0.13322	0.35931	-0.20865	-1.4881	0.30281	0.85888	0.13674	0.37994
GPR98	6	0.030062	0.26869	0.80438	0.977	0.78817	0.88901	0.095573	0.86225	0.54036	0.94089	0.38855	0.62749
GPRASP1	6	0.011791	0.11027	0.88214	0.98363	0.91219	0.95805	0.0060487	0.057021	0.91755	0.98603	0.95453	0.97837
GPRASP2	6	0.14601	1.8651	0.35907	0.85304	0.062164	0.25516	0.18428	2.3629	0.26279	0.84072	0.018133	0.15171
GPRC5A	6	0.11899	1.8042	0.44864	0.88411	0.0712	0.27061	0.10649	1.6219	0.50071	0.9347	0.10482	0.33587
GPRC5B	6	0.23509	2.1956	0.15204	0.7471	0.02812	0.19592	0.2	1.8784	0.22633	0.81749	0.060329	0.26196
GPRC5C	6	-0.03728	-0.48308	0.89354	0.98595	0.62904	0.79203	0.029633	0.38621	0.81196	0.97374	0.69934	0.84055
GPRC5D	6	0.20818	1.7875	0.2011	0.79808	0.073859	0.27526	0.15738	1.3578	0.33233	0.86899	0.17454	0.42303
GPRC6A	6	-0.25414	-2.4768	0.21232	0.81106	0.013258	0.14266	-0.14596	-1.4388	0.47064	0.92453	0.1502	0.39643
GPRIN1	6	0.009334	0.082061	0.89368	0.98595	0.9346	0.96833	0.10383	0.92044	0.51125	0.93799	0.35734	0.60063
GPRIN2	6	0.27762	1.4673	0.093361	0.64975	0.14228	0.37095	0.22929	1.2192	0.16564	0.7606	0.22277	0.47525
GPRIN3	6	0.11457	1.2383	0.46375	0.88588	0.2156	0.45734	0.21325	2.324	0.19749	0.79389	0.020127	0.15953
GPS1	6	-0.056227	-0.99781	0.81305	0.97746	0.31837	0.55501	-0.015688	-0.27987	0.98476	0.99728	0.77958	0.88511
GPS2	6	0.19712	0.67994	0.22396	0.81145	0.49654	0.6984	0.32808	1.148	0.051517	0.56337	0.25097	0.50325
GPSM1	6	-0.058928	-0.48487	0.80169	0.97698	0.62777	0.79117	-0.096455	-0.7977	0.6449	0.96202	0.42504	0.65727
GPSM2	6	0.053069	0.50056	0.70504	0.95494	0.61668	0.78463	0.041643	0.3953	0.76135	0.97308	0.69262	0.84055
GPSM3	6	-0.10327	-1.1332	0.6219	0.92581	0.25715	0.49835	-0.14688	-1.6195	0.46804	0.92437	0.10535	0.33665
GPT	6	0.42207	2.5227	0.013279	0.34075	0.011647	0.13512	0.38397	2.3064	0.024413	0.44732	0.021087	0.16292
GPT2	6	0.11271	0.80591	0.47023	0.8884	0.42029	0.64012	0.034149	0.24591	0.7916	0.97308	0.80575	0.89953
GPX1	6	0.15358	2.365	0.33717	0.84499	0.01803	0.16181	0.10052	1.5551	0.52211	0.93979	0.11993	0.35803
GPX2	6	0.15964	0.96212	0.31832	0.83244	0.33599	0.57028	0.06261	0.37871	0.67328	0.96773	0.7049	0.84438
GPX3	6	0.66697	1.4557	0.00045631	0.19608	0.14547	0.37522	-0.22047	-0.47416	0.2778	0.84938	0.63538	0.81249
